"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1129","Valid Login 1","Chromium","Mon Jun 30 17:48:19 GMT 2025","passed","Mon Jun 30 17:48:20 GMT 2025","@smoke","ui/login.spec.ts","",""
"","1134","Valid Login 2","Chromium","Mon Jun 30 17:48:19 GMT 2025","passed","Mon Jun 30 17:48:20 GMT 2025","@smoke","ui/login.spec.ts","",""
